TIME 5057: START job worker decrement 12; decrement 12; increment 12
TIME 5069: END job worker decrement 12; decrement 12; increment 12
TIME 5069: START job worker decrement 13; decrement 13; increment 13
TIME 5108: END job worker decrement 13; decrement 13; increment 13
TIME 5108: START job worker decrement 19; decrement 19; increment 19; increment 18; repeat 10; decrement 19; decrement 19
TIME 5269: END job worker decrement 19; decrement 19; increment 19; increment 18; repeat 10; decrement 19; decrement 19
TIME 5269: START job worker decrement 17; decrement 16; increment 18
TIME 5991: END job worker decrement 17; decrement 16; increment 18
TIME 5991: START job worker decrement 6; decrement 6; increment 6
TIME 6113: END job worker decrement 6; decrement 6; increment 6
TIME 6113: START job worker decrement 9; decrement 6; increment 7
TIME 6260: END job worker decrement 9; decrement 6; increment 7
TIME 6260: START job worker decrement 14; decrement 14; increment 14
TIME 6586: END job worker decrement 14; decrement 14; increment 14
TIME 6586: START job worker decrement 13; decrement 13; increment 13
TIME 6822: END job worker decrement 13; decrement 13; increment 13
TIME 6822: START job worker decrement 17; decrement 17; increment 18
TIME 6969: END job worker decrement 17; decrement 17; increment 18
TIME 6969: START job worker decrement 9; decrement 6; increment 7
TIME 7322: END job worker decrement 9; decrement 6; increment 7
TIME 7322: START job worker decrement 14; decrement 14; increment 14
TIME 8026: END job worker decrement 14; decrement 14; increment 14
TIME 8026: START job worker decrement 10; decrement 10; increment 10
TIME 8484: END job worker decrement 10; decrement 10; increment 10
