TIME 5057: START job worker decrement 17; decrement 17; increment 18
TIME 5082: END job worker decrement 17; decrement 17; increment 18
TIME 5099: START job worker repeat 100; increment 3;
TIME 5257: END job worker repeat 100; increment 3;
TIME 5257: START job worker decrement 17; decrement 16; increment 18
TIME 5723: END job worker decrement 17; decrement 16; increment 18
TIME 5723: START job worker decrement 9; decrement 6; increment 7
TIME 6616: END job worker decrement 9; decrement 6; increment 7
TIME 6616: START job worker decrement 17; decrement 16; increment 18
TIME 7389: END job worker decrement 17; decrement 16; increment 18
TIME 7389: START job worker decrement 17; decrement 17; increment 18
TIME 8159: END job worker decrement 17; decrement 17; increment 18
TIME 8159: START job worker decrement 6; decrement 6; increment 6
TIME 8174: END job worker decrement 6; decrement 6; increment 6
TIME 8174: START job worker decrement 14; decrement 14; increment 14
TIME 8600: END job worker decrement 14; decrement 14; increment 14
