TIME 5057: START job worker decrement 12; decrement 12; increment 12
TIME 5106: END job worker decrement 12; decrement 12; increment 12
TIME 5106: START job worker decrement 17; decrement 16; increment 18
TIME 5352: END job worker decrement 17; decrement 16; increment 18
TIME 5352: START job worker decrement 17; decrement 17; increment 18
TIME 5432: END job worker decrement 17; decrement 17; increment 18
TIME 5432: START job worker decrement 7; decrement 7; incremt 7
TIME 5624: END job worker decrement 7; decrement 7; incremt 7
TIME 5624: START job worker decrement 10; decrement 10; increment 10
TIME 6044: END job worker decrement 10; decrement 10; increment 10
TIME 6044: START job worker decrement 17; decrement 16; increment 18
TIME 6216: END job worker decrement 17; decrement 16; increment 18
TIME 6216: START job worker decrement 9; decrement 6; increment 7
TIME 7141: END job worker decrement 9; decrement 6; increment 7
TIME 7141: START job worker decrement 11; decrement 11; increment 11
TIME 7373: END job worker decrement 11; decrement 11; increment 11
TIME 7373: START job worker decrement 10; decrement 10; increment 10
TIME 7713: END job worker decrement 10; decrement 10; increment 10
TIME 7713: START job worker decrement 11; decrement 11; increment 11
TIME 7802: END job worker decrement 11; decrement 11; increment 11
TIME 7802: START job worker decrement 8; decrement 8; increment 8
TIME 8303: END job worker decrement 8; decrement 8; increment 8
TIME 8303: START job worker decrement 10; decrement 10; increment 10
TIME 8412: END job worker decrement 10; decrement 10; increment 10
TIME 8412: START job worker decrement 17; decrement 17; increment 18
TIME 8653: END job worker decrement 17; decrement 17; increment 18
