TIME 5057: START job worker decrement 17; decrement 16; increment 18
TIME 5253: END job worker decrement 17; decrement 16; increment 18
TIME 5253: START job worker decrement 12; decrement 12; increment 12
TIME 5370: END job worker decrement 12; decrement 12; increment 12
TIME 5370: START job worker decrement 7; decrement 7; incremt 7
TIME 5496: END job worker decrement 7; decrement 7; incremt 7
TIME 5496: START job worker decrement 8; decrement 8; increment 8
TIME 5498: END job worker decrement 8; decrement 8; increment 8
TIME 5498: START job worker decrement 7; decrement 7; incremt 7
TIME 6060: END job worker decrement 7; decrement 7; incremt 7
TIME 6060: START job worker decrement 15; decrement 15; increment 15
TIME 6099: END job worker decrement 15; decrement 15; increment 15
TIME 6099: START job worker decrement 15; decrement 15; increment 15
TIME 6219: END job worker decrement 15; decrement 15; increment 15
TIME 6219: START job worker decrement 17; decrement 16; increment 18
TIME 7547: END job worker decrement 17; decrement 16; increment 18
TIME 7547: START job worker decrement 17; decrement 17; increment 18
TIME 8421: END job worker decrement 17; decrement 17; increment 18
TIME 8421: START job worker decrement 10; decrement 10; increment 10
TIME 8460: END job worker decrement 10; decrement 10; increment 10
TIME 8460: START job worker decrement 17; decrement 17; increment 18
TIME 8671: END job worker decrement 17; decrement 17; increment 18
