TIME 5059: START job worker decrement 13; decrement 13; increment 13
TIME 5132: END job worker decrement 13; decrement 13; increment 13
TIME 5132: START job worker decrement 13; decrement 13; increment 13
TIME 5157: END job worker decrement 13; decrement 13; increment 13
TIME 5157: START job worker decrement 17; decrement 16; increment 18
TIME 5721: END job worker decrement 17; decrement 16; increment 18
TIME 5721: START job worker decrement 12; decrement 12; increment 12
TIME 5764: END job worker decrement 12; decrement 12; increment 12
TIME 5809: START job worker decrement 6; decrement 6; increment 6
TIME 6062: END job worker decrement 6; decrement 6; increment 6
TIME 6062: START job worker decrement 11; decrement 11; increment 11
TIME 6540: END job worker decrement 11; decrement 11; increment 11
TIME 6540: START job worker decrement 13; decrement 13; increment 13
TIME 6565: END job worker decrement 13; decrement 13; increment 13
TIME 6565: START job worker decrement 9; decrement 6; increment 7
TIME 7317: END job worker decrement 9; decrement 6; increment 7
TIME 7317: START job worker increment 5; increment 5; increment 5;repeat 30; increment 2; increment 0;
TIME 7454: END job worker increment 5; increment 5; increment 5;repeat 30; increment 2; increment 0;
TIME 7454: START job worker decrement 13; decrement 13; increment 13
TIME 8211: END job worker decrement 13; decrement 13; increment 13
TIME 8211: START job worker decrement 10; decrement 10; increment 10
TIME 8215: END job worker decrement 10; decrement 10; increment 10
TIME 8215: START job worker decrement 9; decrement 6; increment 7
TIME 8423: END job worker decrement 9; decrement 6; increment 7
TIME 8423: START job worker decrement 8; decrement 8; increment 8
TIME 8747: END job worker decrement 8; decrement 8; increment 8
