TIME 5057: START job worker decrement 13; decrement 13; increment 13
TIME 5213: END job worker decrement 13; decrement 13; increment 13
TIME 5213: START job worker decrement 15; decrement 15; increment 15
TIME 5447: END job worker decrement 15; decrement 15; increment 15
TIME 5447: START job worker decrement 6; decrement 6; increment 6
TIME 5869: END job worker decrement 6; decrement 6; increment 6
TIME 5869: START job worker decrement 10; decrement 10; increment 10
TIME 5952: END job worker decrement 10; decrement 10; increment 10
TIME 5952: START job worker decrement 15; decrement 15; increment 15
TIME 5955: END job worker decrement 15; decrement 15; increment 15
TIME 5955: START job worker decrement 13; decrement 13; increment 13
TIME 6314: END job worker decrement 13; decrement 13; increment 13
TIME 6314: START job worker decrement 6; decrement 6; increment 6
TIME 6615: END job worker decrement 6; decrement 6; increment 6
TIME 6615: START job worker decrement 6; decrement 6; increment 6
TIME 6643: END job worker decrement 6; decrement 6; increment 6
TIME 6643: START job worker decrement 17; decrement 16; increment 18
TIME 7378: END job worker decrement 17; decrement 16; increment 18
TIME 7378: START job worker decrement 7; decrement 7; incremt 7
TIME 7403: END job worker decrement 7; decrement 7; incremt 7
TIME 7403: START job worker decrement 17; decrement 16; increment 18
TIME 8357: END job worker decrement 17; decrement 16; increment 18
TIME 8357: START job worker decrement 17; decrement 16; increment 18
TIME 8629: END job worker decrement 17; decrement 16; increment 18
