TIME 5134: START job worker decrement 9; decrement 6; increment 7
TIME 6058: END job worker decrement 9; decrement 6; increment 7
TIME 6058: START job worker decrement 17; decrement 17; increment 18
TIME 6228: END job worker decrement 17; decrement 17; increment 18
TIME 6228: START job worker decrement 15; decrement 15; increment 15
TIME 6239: END job worker decrement 15; decrement 15; increment 15
TIME 6239: START job worker decrement 9; decrement 6; increment 7
TIME 6589: END job worker decrement 9; decrement 6; increment 7
TIME 6589: START job worker decrement 10; decrement 10; increment 10
TIME 8217: END job worker decrement 10; decrement 10; increment 10
TIME 8217: START job worker decrement 7; decrement 7; incremt 7
TIME 8538: END job worker decrement 7; decrement 7; incremt 7
