TIME 41: START job worker decrement 14; decrement 14; increment 14
TIME 45: END job worker decrement 14; decrement 14; increment 14
TIME 5089: START job worker decrement 17; decrement 17; increment 18
TIME 5759: END job worker decrement 17; decrement 17; increment 18
TIME 5805: START job worker decrement 14; decrement 14; increment 14
TIME 6073: END job worker decrement 14; decrement 14; increment 14
TIME 6073: START job worker decrement 15; decrement 15; increment 15
TIME 6366: END job worker decrement 15; decrement 15; increment 15
TIME 6366: START job worker repeat 200; increment 3;
TIME 6367: END job worker repeat 200; increment 3;
TIME 6367: START job worker increment 5; increment 5; increment 5;repeat 30; increment 2; increment 0;
TIME 7098: END job worker increment 5; increment 5; increment 5;repeat 30; increment 2; increment 0;
TIME 7098: START job worker decrement 14; decrement 14; increment 14
TIME 7102: END job worker decrement 14; decrement 14; increment 14
TIME 7102: START job worker decrement 9; decrement 6; increment 7
TIME 7321: END job worker decrement 9; decrement 6; increment 7
TIME 7321: START job worker decrement 17; decrement 17; increment 18
TIME 8152: END job worker decrement 17; decrement 17; increment 18
TIME 8152: START job worker decrement 12; decrement 12; increment 12
TIME 8808: END job worker decrement 12; decrement 12; increment 12
