TIME 5089: START job worker decrement 6; decrement 6; increment 6
TIME 5128: END job worker decrement 6; decrement 6; increment 6
TIME 5128: START job worker decrement 15; decrement 15; increment 15
TIME 5197: END job worker decrement 15; decrement 15; increment 15
TIME 5197: START job worker decrement 17; decrement 16; increment 18
TIME 5749: END job worker decrement 17; decrement 16; increment 18
TIME 5769: START job worker decrement 11; decrement 11; increment 11
TIME 6011: END job worker decrement 11; decrement 11; increment 11
TIME 6011: START job worker decrement 14; decrement 14; increment 14
TIME 6439: END job worker decrement 14; decrement 14; increment 14
TIME 6439: START job worker decrement 9; decrement 6; increment 7
TIME 7191: END job worker decrement 9; decrement 6; increment 7
TIME 7191: START job worker decrement 9; decrement 6; increment 7
TIME 7576: END job worker decrement 9; decrement 6; increment 7
TIME 7576: START job worker decrement 14; decrement 14; increment 14
TIME 7863: END job worker decrement 14; decrement 14; increment 14
TIME 7863: START job worker decrement 14; decrement 14; increment 14
TIME 8595: END job worker decrement 14; decrement 14; increment 14
