TIME 5057: START job worker decrement 9; decrement 6; increment 7
TIME 5660: END job worker decrement 9; decrement 6; increment 7
TIME 5660: START job worker decrement 7; decrement 7; incremt 7
TIME 5669: END job worker decrement 7; decrement 7; incremt 7
TIME 5669: START job worker decrement 14; decrement 14; increment 14
TIME 5776: END job worker decrement 14; decrement 14; increment 14
TIME 5828: START job worker decrement 9; decrement 6; increment 7
TIME 6067: END job worker decrement 9; decrement 6; increment 7
TIME 6067: START job worker decrement 6; decrement 6; increment 6
TIME 7278: END job worker decrement 6; decrement 6; increment 6
TIME 7278: START job worker repeat 200; increment 3;
TIME 7530: END job worker repeat 200; increment 3;
TIME 7530: START job worker decrement 6; decrement 6; increment 6
TIME 7749: END job worker decrement 6; decrement 6; increment 6
TIME 7749: START job worker decrement 17; decrement 17; increment 18
TIME 8270: END job worker decrement 17; decrement 17; increment 18
TIME 8270: START job worker decrement 13; decrement 13; increment 13
TIME 8322: END job worker decrement 13; decrement 13; increment 13
TIME 8322: START job worker decrement 17; decrement 17; increment 18
TIME 8607: END job worker decrement 17; decrement 17; increment 18
