TIME 5057: START job worker decrement 14; decrement 14; increment 14
TIME 5381: END job worker decrement 14; decrement 14; increment 14
TIME 5381: START job worker decrement 8; decrement 8; increment 8
TIME 5428: END job worker decrement 8; decrement 8; increment 8
TIME 5428: START job worker decrement 8; decrement 8; increment 8
TIME 5460: END job worker decrement 8; decrement 8; increment 8
TIME 5460: START job worker decrement 13; decrement 13; increment 13
TIME 5822: END job worker decrement 13; decrement 13; increment 13
TIME 5822: START job worker decrement 19; decrement 19; increment 19; increment 18; repeat 10; decrement 19; decrement 19
TIME 6086: END job worker decrement 19; decrement 19; increment 19; increment 18; repeat 10; decrement 19; decrement 19
TIME 6086: START job worker repeat 100; increment 3;
TIME 6110: END job worker repeat 100; increment 3;
TIME 6110: START job worker decrement 10; decrement 10; increment 10
TIME 6192: END job worker decrement 10; decrement 10; increment 10
TIME 6192: START job worker decrement 9; decrement 6; increment 7
TIME 6361: END job worker decrement 9; decrement 6; increment 7
TIME 6361: START job worker decrement 7; decrement 7; incremt 7
TIME 6596: END job worker decrement 7; decrement 7; incremt 7
TIME 6596: START job worker decrement 6; decrement 6; increment 6
TIME 7090: END job worker decrement 6; decrement 6; increment 6
TIME 7090: START job worker decrement 17; decrement 16; increment 18
TIME 7841: END job worker decrement 17; decrement 16; increment 18
TIME 7842: START job worker decrement 10; decrement 10; increment 10
TIME 8440: END job worker decrement 10; decrement 10; increment 10
TIME 8440: START job worker decrement 11; decrement 11; increment 11
TIME 8647: END job worker decrement 11; decrement 11; increment 11
