TIME 5058: START job worker decrement 17; decrement 16; increment 18
TIME 5182: END job worker decrement 17; decrement 16; increment 18
TIME 5182: START job worker decrement 7; decrement 7; incremt 7
TIME 5546: END job worker decrement 7; decrement 7; incremt 7
TIME 5546: START job worker repeat 100; increment 3;
TIME 5650: END job worker repeat 100; increment 3;
TIME 5650: START job worker decrement 17; decrement 17; increment 18
TIME 6062: END job worker decrement 17; decrement 17; increment 18
TIME 6062: START job worker decrement 8; decrement 8; increment 8
TIME 6069: END job worker decrement 8; decrement 8; increment 8
TIME 6069: START job worker repeat 100; increment 3;
TIME 6078: END job worker repeat 100; increment 3;
TIME 6078: START job worker decrement 8; decrement 8; increment 8
TIME 6186: END job worker decrement 8; decrement 8; increment 8
TIME 6186: START job worker decrement 12; decrement 12; increment 12
TIME 6455: END job worker decrement 12; decrement 12; increment 12
TIME 6455: START job worker decrement 15; decrement 15; increment 15
TIME 6471: END job worker decrement 15; decrement 15; increment 15
TIME 6471: START job worker decrement 17; decrement 16; increment 18
TIME 7862: END job worker decrement 17; decrement 16; increment 18
TIME 7862: START job worker decrement 17; decrement 16; increment 18
TIME 8466: END job worker decrement 17; decrement 16; increment 18
TIME 8466: START job worker decrement 14; decrement 14; increment 14
TIME 8590: END job worker decrement 14; decrement 14; increment 14
