TIME 5059: START job worker decrement 15; decrement 15; increment 15
TIME 5096: END job worker decrement 15; decrement 15; increment 15
TIME 5096: START job worker decrement 6; decrement 6; increment 6
TIME 5200: END job worker decrement 6; decrement 6; increment 6
TIME 5200: START job worker decrement 13; decrement 13; increment 13
TIME 5236: END job worker decrement 13; decrement 13; increment 13
TIME 5236: START job worker decrement 13; decrement 13; increment 13
TIME 5254: END job worker decrement 13; decrement 13; increment 13
TIME 5254: START job worker decrement 10; decrement 10; increment 10
TIME 5333: END job worker decrement 10; decrement 10; increment 10
TIME 5333: START job worker decrement 10; decrement 10; increment 10
TIME 5336: END job worker decrement 10; decrement 10; increment 10
TIME 5336: START job worker decrement 8; decrement 8; increment 8
TIME 5416: END job worker decrement 8; decrement 8; increment 8
TIME 5416: START job worker decrement 13; decrement 13; increment 13
TIME 5625: END job worker decrement 13; decrement 13; increment 13
TIME 5625: START job worker decrement 8; decrement 8; increment 8
TIME 5628: END job worker decrement 8; decrement 8; increment 8
TIME 5628: START job worker decrement 7; decrement 7; incremt 7
TIME 5918: END job worker decrement 7; decrement 7; incremt 7
TIME 5918: START job worker decrement 17; decrement 17; increment 18
TIME 6039: END job worker decrement 17; decrement 17; increment 18
TIME 6039: START job worker decrement 6; decrement 6; increment 6
TIME 6136: END job worker decrement 6; decrement 6; increment 6
TIME 6136: START job worker decrement 13; decrement 13; increment 13
TIME 6499: END job worker decrement 13; decrement 13; increment 13
TIME 6499: START job worker decrement 19; decrement 19; increment 19; increment 18; repeat 10; decrement 19; decrement 19
TIME 7239: END job worker decrement 19; decrement 19; increment 19; increment 18; repeat 10; decrement 19; decrement 19
TIME 7239: START job worker decrement 7; decrement 7; incremt 7
TIME 7320: END job worker decrement 7; decrement 7; incremt 7
TIME 7321: START job worker decrement 17; decrement 16; increment 18
TIME 8452: END job worker decrement 17; decrement 16; increment 18
TIME 8452: START job worker decrement 17; decrement 16; increment 18
TIME 8656: END job worker decrement 17; decrement 16; increment 18
