TIME 5059: START job worker decrement 12; decrement 12; increment 12
TIME 5132: END job worker decrement 12; decrement 12; increment 12
TIME 5132: START job worker decrement 12; decrement 12; increment 12
TIME 5374: END job worker decrement 12; decrement 12; increment 12
TIME 5374: START job worker repeat 100; increment 3;
TIME 5400: END job worker repeat 100; increment 3;
TIME 5400: START job worker decrement 9; decrement 6; increment 7
TIME 6027: END job worker decrement 9; decrement 6; increment 7
TIME 6027: START job worker decrement 10; decrement 10; increment 10
TIME 6147: END job worker decrement 10; decrement 10; increment 10
TIME 6147: START job worker decrement 7; decrement 7; incremt 7
TIME 6338: END job worker decrement 7; decrement 7; incremt 7
TIME 6338: START job worker decrement 17; decrement 16; increment 18
TIME 6792: END job worker decrement 17; decrement 16; increment 18
TIME 6792: START job worker decrement 11; decrement 11; increment 11
TIME 7343: END job worker decrement 11; decrement 11; increment 11
TIME 7343: START job worker repeat 100; increment 3;
TIME 7569: END job worker repeat 100; increment 3;
TIME 7569: START job worker repeat 200; increment 3;
TIME 7707: END job worker repeat 200; increment 3;
TIME 7707: START job worker decrement 15; decrement 15; increment 15
TIME 7767: END job worker decrement 15; decrement 15; increment 15
TIME 7767: START job worker decrement 9; decrement 6; increment 7
TIME 7911: END job worker decrement 9; decrement 6; increment 7
TIME 7911: START job worker increment 1;
TIME 7912: END job worker increment 1;
TIME 7912: START job worker repeat 100; increment 3;
TIME 7950: END job worker repeat 100; increment 3;
TIME 7950: START job worker decrement 12; decrement 12; increment 12
TIME 8813: END job worker decrement 12; decrement 12; increment 12
