TIME 5057: START job worker decrement 13; decrement 13; increment 13
TIME 5081: END job worker decrement 13; decrement 13; increment 13
TIME 5120: START job worker repeat 200; increment 3;
TIME 5318: END job worker repeat 200; increment 3;
TIME 5318: START job worker decrement 8; decrement 8; increment 8
TIME 5550: END job worker decrement 8; decrement 8; increment 8
TIME 5550: START job worker decrement 14; decrement 14; increment 14
TIME 5805: END job worker decrement 14; decrement 14; increment 14
TIME 5805: START job worker decrement 15; decrement 15; increment 15
TIME 5943: END job worker decrement 15; decrement 15; increment 15
TIME 5943: START job worker decrement 6; decrement 6; increment 6
TIME 6081: END job worker decrement 6; decrement 6; increment 6
TIME 6081: START job worker decrement 6; decrement 6; increment 6
TIME 6110: END job worker decrement 6; decrement 6; increment 6
TIME 6110: START job worker decrement 8; decrement 8; increment 8
TIME 6472: END job worker decrement 8; decrement 8; increment 8
TIME 6472: START job worker repeat 200; increment 3;
TIME 6492: END job worker repeat 200; increment 3;
TIME 6492: START job worker decrement 17; decrement 16; increment 18
TIME 7382: END job worker decrement 17; decrement 16; increment 18
TIME 7382: START job worker decrement 17; decrement 16; increment 18
TIME 8356: END job worker decrement 17; decrement 16; increment 18
TIME 8356: START job worker decrement 17; decrement 17; increment 18
TIME 8619: END job worker decrement 17; decrement 17; increment 18
